date,ip_total,ip_manufacturing,ip_durable_mfg,ip_nondurable_mfg,ip_mining,ip_utilities,ip_electric_power,ip_natural_gas,ip_consumer_goods,ip_consumer_durable,ip_consumer_nondurable,ip_business_equipment,ip_construction_supplies,ip_business_supplies,ip_materials,ip_durable_materials,ip_nondurable_materials,ip_energy_materials,ip_wood_products,ip_nonmetallic_minerals,ip_primary_metals,ip_fabricated_metals,ip_machinery,ip_computer_electronic,ip_computer,ip_communications_equipment,ip_semiconductors,ip_electrical_equipment,ip_motor_vehicles,ip_aerospace,ip_furniture,ip_misc_durables,ip_food_tobacco,ip_textile_mills,ip_apparel_leather,ip_paper,ip_printing,ip_petroleum_coal,ip_chemicals,ip_plastics_rubber,cu_total,cu_manufacturing,cu_durable_mfg,cu_nondurable_mfg,cu_mining,cu_utilities,cu_electric_power,cu_natural_gas,cu_wood_products,cu_nonmetallic_minerals,cu_primary_metals,cu_fabricated_metals,cu_machinery,cu_computer_electronic,cu_computer,cu_communications_equipment,cu_semiconductors,cu_electrical_equipment,cu_motor_vehicles,cu_aerospace,cu_furniture,cu_misc_durables,cu_food_tobacco,cu_textile_mills,cu_apparel_leather,cu_paper,cu_printing,cu_petroleum_coal,cu_chemicals,cu_plastics_rubber
1923-01-31,5.8062,,,,29.6757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-02-28,5.8869,,,,29.8818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-03-31,6.0751,,,,30.9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-04-30,6.2095,,,,33.0417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-05-31,6.2901,,,,32.2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-06-30,6.2363,,,,32.1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-07-31,6.1826,,,,32.9043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-08-31,6.0751,,,,32.5608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-09-30,5.9406,,,,29.9505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-10-31,5.9138,,,,31.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-11-30,5.9138,,,,31.3931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923-12-31,5.7794,,,,29.2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-01-31,5.9138,,,,30.2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-02-29,6.0213,,,,31.4617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-03-31,5.9138,,,,29.6757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-04-30,5.7256,,,,27.4775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-05-31,5.4837,,,,27.6149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-06-30,5.2417,,,,27.4775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-07-31,5.1611,,,,27.4088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-08-31,5.3493,,,,27.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-09-30,5.5374,,,,28.9888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-10-31,5.6718,,,,28.7827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-11-30,5.7794,,,,28.3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-12-31,5.9406,,,,28.9201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925-01-31,6.1288,,,,30.0879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
